year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other
2024,ALABAMA,AL,2264972,1462616,772412,4930,25014
2024,ALASKA,AK,338177,184458,140026,3040,10653
2024,ARIZONA,AZ,3400986,1770242,1582860,17898,29986
2024,ARKANSAS,AR,1182676,759241,396905,5715,20815
2024,CALIFORNIA,CA,15862678,6081697,9276179,66662,438140
2024,COLORADO,CO,3190873,1377441,1728159,21439,63834
2024,CONNECTICUT,CT,1759010,736918,992053,6729,23310
2024,DELAWARE,DE,511697,214351,289758,2038,5550
2024,DISTRICT OF COLUMBIA,DC,325879,21076,294185,0,10618
2024,FLORIDA,FL,10893752,6110125,4683038,31972,68617
2024,GEORGIA,GA,5250047,2663117,2548017,20684,18229
2024,HAWAII,HI,516701,193661,313044,2733,7263
2024,IDAHO,ID,905057,605246,274972,4462,20377
2024,ILLINOIS,IL,5633310,2449079,3062863,3510,117858
2024,INDIANA,IN,2936677,1720347,1163603,20425,32302
2024,IOWA,IA,1663506,927019,707278,7218,21991
2024,KANSAS,KS,1327591,758802,544853,7614,16322
2024,KENTUCKY,KY,2074530,1337494,704043,6422,26571
2024,LOUISIANA,LA,2006975,1208505,766870,6835,24765
2024,MAINE,ME,824806,376991,430342,5253,12220
2024,MARYLAND,MD,3038334,1035550,1902577,15570,84637
2024,MASSACHUSETTS,MA,3473668,1251303,2126518,17735,78112
2024,MICHIGAN,MI,5664186,2816636,2736533,22440,88577
2024,MINNESOTA,MN,3253920,1519032,1656979,15155,62754
2024,MISSISSIPPI,MS,1228008,747744,466668,2536,11060
2024,MISSOURI,MO,2995327,1751986,1200599,23876,18866
2024,MONTANA,MT,602963,352079,231906,4275,14703
2024,NEBRASKA,NE,947159,564816,369995,6399,5949
2024,NEVADA,NV,1484840,751205,705197,6059,22379
2024,NEW HAMPSHIRE,NH,826189,395523,418488,4425,7753
2024,NEW JERSEY,NJ,4272725,1968215,2220713,10500,73297
2024,NEW MEXICO,NM,920922,423391,478802,3699,15030
2024,NEW YORK,NY,8262495,3578899,4619195,5338,59063
2024,NORTH CAROLINA,NC,5699141,2898423,2715375,22125,63218
2024,NORTH DAKOTA,ND,368155,246505,112327,6227,3096
2024,OHIO,OH,5767788,3180116,2533699,28200,25773
2024,OKLAHOMA,OK,1566173,1036213,499599,9198,21163
2024,OREGON,OR,2244493,919480,1240600,9061,75352
2024,PENNSYLVANIA,PA,7034206,3543308,3423042,33318,34538
2024,RHODE ISLAND,RI,511816,214291,283750,1614,12161
2024,SOUTH CAROLINA,SC,2548140,1483747,1028452,12669,23272
2024,SOUTH DAKOTA,SD,428922,272081,146859,2778,7204
2024,TENNESSEE,TN,3063942,1966865,1056265,0,40812
2024,TEXAS,TX,11388674,6393597,4835250,68557,91270
2024,UTAH,UT,1488494,883818,562566,16902,25208
2024,VERMONT,VT,331886,108055,210938,1653,11240
2024,VIRGINIA,VA,4482576,2075085,2335395,19814,52282
2024,WASHINGTON,WA,3924243,1530923,2245849,16428,131043
2024,WEST VIRGINIA,WV,762390,533556,214309,3047,11478
2024,WISCONSIN,WI,3422918,1697626,1668229,10511,46552
2024,WYOMING,WY,269048,192633,69527,4193,2695
