year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other,votes_writein
1976,ALABAMA,AL,1182850,504070,659170,1481,17821,308
1976,ALASKA,AK,123574,71555,44058,6785,0,1176
1976,ARIZONA,AZ,742719,418642,295602,7647,20806,22
1976,ARKANSAS,AR,767535,267903,498604,0,1028,0
1976,CALIFORNIA,CA,7803770,3882244,3742284,0,179242,0
1976,COLORADO,CO,1081440,584278,460801,5338,31023,0
1976,CONNECTICUT,CT,1386355,719261,647895,0,19199,0
1976,DELAWARE,DE,235642,109780,122461,0,3401,0
1976,DISTRICT OF COLUMBIA,DC,168830,27873,137818,0,2851,288
1976,FLORIDA,FL,3150631,1469531,1636000,0,44968,132
1976,GEORGIA,GA,1463152,483743,979409,0,0,0
1976,HAWAII,HI,291301,140003,147375,3923,0,0
1976,IDAHO,ID,340932,204151,126549,3558,6674,0
1976,ILLINOIS,IL,4721282,2364269,2271295,8057,73244,4417
1976,INDIANA,IN,2220362,1183958,1014714,0,21690,0
1976,IOWA,IA,1279303,632864,619931,1454,25054,0
1976,KANSAS,KS,957845,502752,430421,0,24672,0
1976,KENTUCKY,KY,1167142,531852,615717,814,18759,0
1976,LOUISIANA,LA,1277383,587446,661365,3134,25438,0
1976,MAINE,ME,482968,236320,232279,0,14369,0
1976,MARYLAND,MD,1432273,672661,759612,0,0,0
1976,MASSACHUSETTS,MA,2547558,1030276,1429475,135,87672,0
1976,MICHIGAN,MI,3651590,1893742,1696714,5407,55727,0
1976,MINNESOTA,MN,1949931,819395,1070440,3529,56225,342
1976,MISSISSIPPI,MS,768390,366846,381329,2609,17606,0
1976,MISSOURI,MO,1953600,927443,998387,0,27770,0
1976,MONTANA,MT,328734,173703,149259,0,5772,0
1976,NEBRASKA,NE,606749,359219,233293,1476,12761,0
1976,NEVADA,NV,201876,101273,92479,1519,6605,0
1976,NEW HAMPSHIRE,NH,339627,185935,147645,936,5111,0
1976,NEW JERSEY,NJ,3014472,1509688,1444653,9449,50682,0
1976,NEW MEXICO,NM,416590,211419,201148,1110,2913,0
1976,NEW YORK,NY,6668262,5926704,6633723,0,177913,0
1976,NORTH CAROLINA,NC,1677906,741960,927365,2219,6362,0
1976,NORTH DAKOTA,ND,297308,153684,136078,256,7290,0
1976,OHIO,OH,4110456,2000626,2009959,8952,90919,0
1976,OKLAHOMA,OK,1092251,545708,532442,0,14101,0
1976,OREGON,OR,1029876,492120,490407,0,41242,6107
1976,PENNSYLVANIA,PA,4620787,2205604,2328677,0,86506,0
1976,RHODE ISLAND,RI,410584,181249,227636,715,984,0
1976,SOUTH CAROLINA,SC,802583,346149,450807,0,4946,681
1976,SOUTH DAKOTA,SD,300678,151505,147068,1619,486,0
1976,TENNESSEE,TN,1476346,633969,825879,0,16268,230
1976,TEXAS,TX,4071884,1953300,2082319,0,33283,2982
1976,UTAH,UT,541218,337908,182110,0,21200,0
1976,VERMONT,VT,183902,100387,77798,0,5717,0
1976,VIRGINIA,VA,1697094,836554,813896,4648,41996,0
1976,WASHINGTON,WA,1555534,777732,717323,5042,55437,0
1976,WEST VIRGINIA,WV,750590,314726,435864,0,0,0
1976,WISCONSIN,WI,2101336,1004987,1040232,3814,52303,0
1976,WYOMING,WY,156343,92717,62239,0,0,1387
