year,state,state_po,first_place_party,first_place_vote_share,second_place_party,second_place_vote_share,republican_candidates,democrat_candidates,libertarian_candidates,other_candidates,republican_candidates_writein,democrat_candidates_writein,libertarian_candidates_writein,other_candidates_writein
1988,ALABAMA,AL,REPUBLICAN,0.5917,DEMOCRAT,0.3986,1,1,1,1,0,0,0,1
1988,ALASKA,AK,REPUBLICAN,0.5959,DEMOCRAT,0.3627,1,1,1,2,0,0,0,1
1988,ARIZONA,AZ,REPUBLICAN,0.5995,DEMOCRAT,0.3874,1,1,1,1,0,0,0,1
1988,ARKANSAS,AR,REPUBLICAN,0.5637,DEMOCRAT,0.4219,1,1,1,3,0,0,0,0
1988,CALIFORNIA,CA,REPUBLICAN,0.5113,DEMOCRAT,0.4756,1,1,1,1,0,0,0,1
1988,COLORADO,CO,REPUBLICAN,0.5306,DEMOCRAT,0.4528,1,1,1,2,0,0,0,1
1988,CONNECTICUT,CT,REPUBLICAN,0.5198,DEMOCRAT,0.4687,1,1,1,1,0,0,0,1
1988,DELAWARE,DE,REPUBLICAN,0.5588,DEMOCRAT,0.4348,1,1,1,1,0,0,0,0
1988,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.8265,REPUBLICAN,0.143,1,1,1,5,0,0,0,1
1988,FLORIDA,FL,REPUBLICAN,0.6087,DEMOCRAT,0.3851,1,1,1,1,0,0,0,1
1988,GEORGIA,GA,REPUBLICAN,0.5975,DEMOCRAT,0.395,1,1,1,1,0,0,0,1
1988,HAWAII,HI,DEMOCRAT,0.5427,REPUBLICAN,0.4475,1,1,1,2,0,0,0,0
1988,IDAHO,ID,REPUBLICAN,0.6208,DEMOCRAT,0.3601,1,1,1,1,0,0,0,0
1988,ILLINOIS,IL,REPUBLICAN,0.5069,DEMOCRAT,0.486,1,1,1,2,0,0,0,0
1988,INDIANA,IN,REPUBLICAN,0.5984,DEMOCRAT,0.3969,1,1,0,1,0,0,0,0
1988,IOWA,IA,DEMOCRAT,0.5471,REPUBLICAN,0.445,1,1,1,7,0,0,0,0
1988,KANSAS,KS,REPUBLICAN,0.5579,DEMOCRAT,0.4256,1,1,0,1,0,0,0,0
1988,KENTUCKY,KY,REPUBLICAN,0.5552,DEMOCRAT,0.4388,1,1,1,2,0,0,0,0
1988,LOUISIANA,LA,REPUBLICAN,0.5427,DEMOCRAT,0.4406,1,1,1,3,0,0,0,0
1988,MAINE,ME,REPUBLICAN,0.5534,DEMOCRAT,0.4388,1,1,1,2,0,0,0,0
1988,MARYLAND,MD,REPUBLICAN,0.5111,DEMOCRAT,0.482,1,1,1,1,0,0,0,1
1988,MASSACHUSETTS,MA,DEMOCRAT,0.5323,REPUBLICAN,0.4538,1,1,1,2,0,0,0,0
1988,MICHIGAN,MI,REPUBLICAN,0.5357,DEMOCRAT,0.4567,1,1,1,2,0,0,0,0
1988,MINNESOTA,MN,DEMOCRAT,0.5291,REPUBLICAN,0.459,1,1,1,8,0,0,0,1
1988,MISSISSIPPI,MS,REPUBLICAN,0.5989,DEMOCRAT,0.3907,1,1,1,1,0,0,0,0
1988,MISSOURI,MO,REPUBLICAN,0.5183,DEMOCRAT,0.4785,1,1,0,1,0,0,0,0
1988,MONTANA,MT,REPUBLICAN,0.5207,DEMOCRAT,0.462,1,1,1,1,0,0,0,0
1988,NEBRASKA,NE,REPUBLICAN,0.6016,DEMOCRAT,0.3919,1,1,1,1,0,0,0,0
1988,NEVADA,NV,REPUBLICAN,0.6005,DEMOCRAT,0.3868,1,1,1,1,0,0,0,0
1988,NEW HAMPSHIRE,NH,REPUBLICAN,0.6249,DEMOCRAT,0.3633,1,1,1,1,0,0,0,0
1988,NEW JERSEY,NJ,REPUBLICAN,0.5624,DEMOCRAT,0.426,1,1,1,8,0,0,0,0
1988,NEW MEXICO,NM,REPUBLICAN,0.5185,DEMOCRAT,0.4689,1,1,1,4,0,0,0,1
1988,NEW YORK,NY,DEMOCRAT,0.5019,REPUBLICAN,0.4376,1,1,1,7,0,0,0,0
1988,NORTH CAROLINA,NC,REPUBLICAN,0.5797,DEMOCRAT,0.4171,1,1,0,1,0,0,0,1
1988,NORTH DAKOTA,ND,REPUBLICAN,0.5603,DEMOCRAT,0.4297,1,1,1,3,0,0,0,0
1988,OHIO,OH,REPUBLICAN,0.55,DEMOCRAT,0.4415,1,1,1,3,0,0,0,1
1988,OKLAHOMA,OK,REPUBLICAN,0.5793,DEMOCRAT,0.4128,1,1,1,1,0,0,0,0
1988,OREGON,OR,DEMOCRAT,0.5128,REPUBLICAN,0.4661,1,1,1,2,0,0,0,0
1988,PENNSYLVANIA,PA,REPUBLICAN,0.507,DEMOCRAT,0.4839,1,1,1,4,0,0,0,0
1988,RHODE ISLAND,RI,DEMOCRAT,0.5564,REPUBLICAN,0.4393,1,1,1,5,0,0,0,1
1988,SOUTH CAROLINA,SC,REPUBLICAN,0.615,DEMOCRAT,0.3758,1,1,1,1,0,0,0,0
1988,SOUTH DAKOTA,SD,REPUBLICAN,0.5285,DEMOCRAT,0.4651,1,1,0,1,0,0,0,0
1988,TENNESSEE,TN,REPUBLICAN,0.5789,DEMOCRAT,0.4155,1,1,0,1,0,0,0,1
1988,TEXAS,TX,REPUBLICAN,0.5595,DEMOCRAT,0.4335,1,1,1,1,0,0,0,1
1988,UTAH,UT,REPUBLICAN,0.6622,DEMOCRAT,0.3205,1,1,1,6,0,0,0,0
1988,VERMONT,VT,REPUBLICAN,0.511,DEMOCRAT,0.4758,1,1,1,7,0,0,0,0
1988,VIRGINIA,VA,REPUBLICAN,0.5974,DEMOCRAT,0.3923,1,1,1,1,0,0,0,0
