year,state,state_po,first_place_party,first_place_vote_share,second_place_party,second_place_vote_share
2004,ALABAMA,AL,REPUBLICAN,0.6246,DEMOCRAT,0.3684
2004,ALASKA,AK,REPUBLICAN,0.6107,DEMOCRAT,0.3552
2004,ARIZONA,AZ,REPUBLICAN,0.5487,DEMOCRAT,0.444
2004,ARKANSAS,AR,REPUBLICAN,0.5431,DEMOCRAT,0.4455
2004,CALIFORNIA,CA,DEMOCRAT,0.5431,REPUBLICAN,0.4436
2004,COLORADO,CO,REPUBLICAN,0.5171,DEMOCRAT,0.4704
2004,CONNECTICUT,CT,DEMOCRAT,0.5431,REPUBLICAN,0.4395
2004,DELAWARE,DE,DEMOCRAT,0.5335,REPUBLICAN,0.4575
2004,DISTRICT OF COLUMBIA,DC,DEMOCRAT,0.8918,REPUBLICAN,0.0934
2004,FLORIDA,FL,REPUBLICAN,0.521,DEMOCRAT,0.4709
2004,GEORGIA,GA,REPUBLICAN,0.5797,DEMOCRAT,0.4137
2004,HAWAII,HI,DEMOCRAT,0.5401,REPUBLICAN,0.4526
2004,IDAHO,ID,REPUBLICAN,0.6839,DEMOCRAT,0.3026
2004,ILLINOIS,IL,DEMOCRAT,0.5482,REPUBLICAN,0.4448
2004,INDIANA,IN,REPUBLICAN,0.5994,DEMOCRAT,0.3926
2004,IOWA,IA,REPUBLICAN,0.499,DEMOCRAT,0.4923
2004,KANSAS,KS,REPUBLICAN,0.62,DEMOCRAT,0.3662
2004,KENTUCKY,KY,REPUBLICAN,0.5955,DEMOCRAT,0.3969
2004,LOUISIANA,LA,REPUBLICAN,0.5672,DEMOCRAT,0.4222
2004,MAINE,ME,DEMOCRAT,0.5357,REPUBLICAN,0.4458
2004,MARYLAND,MD,DEMOCRAT,0.5597,REPUBLICAN,0.4298
2004,MASSACHUSETTS,MA,DEMOCRAT,0.6162,REPUBLICAN,0.3659
2004,MICHIGAN,MI,DEMOCRAT,0.5123,REPUBLICAN,0.4781
2004,MINNESOTA,MN,DEMOCRAT,0.5109,REPUBLICAN,0.4761
2004,MISSISSIPPI,MS,REPUBLICAN,0.5901,DEMOCRAT,0.4016
2004,MISSOURI,MO,REPUBLICAN,0.533,DEMOCRAT,0.461
2004,MONTANA,MT,REPUBLICAN,0.5907,DEMOCRAT,0.3857
2004,NEBRASKA,NE,REPUBLICAN,0.659,DEMOCRAT,0.3268
2004,NEVADA,NV,REPUBLICAN,0.5047,DEMOCRAT,0.4788
2004,NEW HAMPSHIRE,NH,DEMOCRAT,0.502,REPUBLICAN,0.4883
2004,NEW JERSEY,NJ,DEMOCRAT,0.5292,REPUBLICAN,0.4624
2004,NEW MEXICO,NM,REPUBLICAN,0.4984,DEMOCRAT,0.4905
2004,NEW YORK,NY,DEMOCRAT,0.5792,REPUBLICAN,0.3978
2004,NORTH CAROLINA,NC,REPUBLICAN,0.5602,DEMOCRAT,0.4358
2004,NORTH DAKOTA,ND,REPUBLICAN,0.6286,DEMOCRAT,0.355
2004,OHIO,OH,REPUBLICAN,0.5081,DEMOCRAT,0.4871
2004,OKLAHOMA,OK,REPUBLICAN,0.6557,DEMOCRAT,0.3443
2004,OREGON,OR,DEMOCRAT,0.5135,REPUBLICAN,0.4719
2004,PENNSYLVANIA,PA,DEMOCRAT,0.5092,REPUBLICAN,0.4842
2004,RHODE ISLAND,RI,DEMOCRAT,0.5942,REPUBLICAN,0.3867
2004,SOUTH CAROLINA,SC,REPUBLICAN,0.5798,DEMOCRAT,0.409
2004,SOUTH DAKOTA,SD,REPUBLICAN,0.5991,DEMOCRAT,0.3844
2004,TENNESSEE,TN,REPUBLICAN,0.568,DEMOCRAT,0.4253
2004,TEXAS,TX,REPUBLICAN,0.6109,DEMOCRAT,0.3822
2004,UTAH,UT,REPUBLICAN,0.7154,DEMOCRAT,0.26
2004,VERMONT,VT,DEMOCRAT,0.5894,REPUBLICAN,0.388
2004,VIRGINIA,VA,REPUBLICAN,0.5373,DEMOCRAT,0.4553
2004,WASHINGTON,WA,DEMOCRAT,0.5282,REPUBLICAN,0.4564
2004,WEST VIRGINIA,WV,REPUBLICAN,0.5607,DEMOCRAT,0.4321
2004,WISCONSIN,WI,DEMOCRAT,0.497,REPUBLICAN,0.4932
2004,WYOMING,WY,REPUBLICAN,0.6874,DEMOCRAT,0.2902
